stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
34,0.5,1,77.7184307,78.2019971,78.2019971,78.2185471,78.5014997,right,1,1,1,0.8056754,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
35,0.5,1,79.0367675,79.5182681,79.5182681,79.5515955,79.8178979,right,1,1,1,0.8345329,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
36,0.5,1,80.3844684,80.8678685,80.8678685,80.8845077,81.1676576,left,-1,1,1,0.6045107,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
37,0.5,1,81.5008184,82.0006832,82.0006832,82.0006832,82.3008369,left,-1,1,1,0.8573214,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
38,0.5,1,82.8837482,83.3833792,83.3833792,83.3833792,83.6834797,left,-1,1,1,0.8915686,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
39,0.5,1,84.3001665,84.7998774,84.7998774,84.7998774,85.0996833,right,1,1,1,0.6320981,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
40,0.5,1,85.449549,85.9494462,85.9494462,85.9494462,86.2494455,left,-1,1,1,0.754971,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
41,0.5,1,86.7324015,87.2325355,87.2325355,87.2325355,87.5322037,right,1,1,1,0.4940689,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
42,0.5,1,87.7489922,88.2489007,88.2489007,88.2489007,88.5489108,right,1,1,1,0.8567381,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
43,0.5,1,89.1317047,89.6149968,89.6149968,89.6317313,89.9150197,right,1,1,1,1.0821091,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
44,0.5,1,90.7147487,91.2151012,91.2151012,91.2151012,91.5144245,right,1,0,0,0.7773826,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
45,0.5,1.5,92.0142663,92.4975156,92.4975156,92.5141108,92.7973708,left,-1.5,1,1,1.1124181,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
46,0.5,1.5,93.6302533,94.1134726,94.1134726,94.1303597,94.4135335,left,-1.5,1,1,0.9727296,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
47,0.5,1.5,95.1131174,95.5965022,95.5965022,95.6132659,95.8963867,right,1.5,1,1,0.7540402,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
48,0.5,1,96.3797499,96.8796055,96.8796055,96.8796055,97.1794102,right,1,1,1,0.8673593,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
49,0.5,1,97.763213,98.2625566,98.2625566,98.2625566,98.5624894,right,1,1,1,0.8517583,542148,1,2023-08-31_23h49.20.098,adaptivestaircase,2023.1.3,59.94718653
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tilt ,threshold ,average of last 10 trials ,0.35,,,,,,,,,,,,,,,
