stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,stair.intensity,stair.thisTrialN,key_resp.rt
30,0.5,3,45.6125601,46.0960741,46.0960741,46.1124714,46.3968597,right,3,0,0,0.4116496,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3,30,0.4116496
31,0.5,3.5,46.5291118,47.0127731,47.0127731,47.0292873,47.312262,left,-3.5,0,0,0.3437467,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3.5,31,0.3437467
32,0.5,4,47.3790704,47.8785119,47.8785119,47.8785119,48.1786567,left,-4,1,1,0.3398825,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,4,32,0.3398825
33,0.5,4,48.2458614,48.745431,48.745431,48.745431,49.0460173,left,-4,1,1,0.3356723,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,4,33,0.3356723
34,0.5,4,49.1121424,49.6113951,49.6113951,49.6113951,49.9117552,right,4,1,1,0.5282556,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,4,34,0.5282556
35,0.5,3.5,50.1615456,50.6614094,50.6614094,50.6614094,50.9607339,right,3.5,1,1,0.4107319,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3.5,35,0.4107319
36,0.5,3.5,51.0942963,51.5773895,51.5773895,51.5941112,51.8774377,left,-3.5,1,1,0.5093942,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3.5,36,0.5093942
37,0.5,3.5,52.1111483,52.6105671,52.6105671,52.6105671,52.9102459,left,-3.5,1,1,0.4282057,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3.5,37,0.4282057
38,0.5,3,53.0604161,53.5436809,53.5436809,53.5600554,53.843253,right,3,1,1,0.4747597,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3,38,0.4747597
39,0.5,3,54.0433171,54.526618,54.526618,54.5430226,54.8261908,right,3,0,0,0.5887048,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3,39,0.5887048
40,0.5,3.5,55.1429949,55.6432242,55.6432242,55.6432242,55.9424977,right,3.5,1,1,0.3463223,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3.5,40,0.3463223
41,0.5,3.5,56.0099798,56.4933406,56.4933406,56.5092792,56.7925808,left,-3.5,1,1,0.8486597,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3.5,41,0.8486597
42,0.5,3.5,57.3588413,57.859154,57.859154,57.859154,58.1584869,right,3.5,1,1,0.6251215,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3.5,42,0.6251215
43,0.5,3,58.5087186,58.9916229,58.9916229,59.0087017,59.2917406,left,-3,1,1,0.6723704,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3,43,0.6723704
44,0.5,3,59.6914572,60.1753693,60.1753693,60.1918852,60.474416,left,-3,1,1,0.4856522,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3,44,0.4856522
45,0.5,3,60.6913526,61.1747035,61.1747035,61.1913427,61.4742908,left,-3,1,1,0.3992857,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3,45,0.3992857
46,0.5,2.5,61.5912524,62.0912746,62.0912746,62.0912746,62.3908584,left,-2.5,1,1,0.4720584,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,2.5,46,0.4720584
47,0.5,2.5,62.5907309,63.0738423,63.0738423,63.0906809,63.3737614,right,2.5,0,0,0.3812453,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,2.5,47,0.3812453
48,0.5,3,63.474027,63.9742831,63.9742831,63.9742831,64.2740342,left,-3,1,1,0.3979297,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3,48,0.3979297
49,0.5,3,64.3900676,64.8739652,64.8739652,64.8902224,65.174182,left,-3,1,1,0.5566969,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3,49,0.5566969
50,0.5,3,65.4570924,65.9617945,65.9617945,65.9617945,66.2731303,right,3,1,1,0.5337477,708423,1,2023-09-01_11h12.21.864,adaptivestaircase,2023.1.3,61.1288045,,3,50,0.5337477
